fid,Name,descriptio,id,cable_id,color,length,rfs,owners,url,geometry
205,Germany-Denmark 3,"<div class=""googft-info-window"">
<b>id:</b> germany-denmark-3<br>
<b>cable_id:</b> 1764<br>
<b>description:</b> [{""landing_point_id"":5820,""name"":""Gedser, Denmark"",""latlon"":""54.576351,11.928968""},{""landing_point_id"":14585,""name"":""Markgrafenheide, Germany""",germany-denmark-3,1764,#e71e2e,n.a.,March 2000,TDC,,"MULTILINESTRING ((11.940007 54.577234, 12.037566 54.493972, 12.037566 54.297486, 12.149577 54.191577))"
206,Glo-1,"<div class=""googft-info-window"">
<b>id:</b> glo-1<br>
<b>cable_id:</b> 1357<br>
<b>description:</b> [{""landing_point_id"":4181,""name"":""Accra, Ghana"",""latlon"":""5.558283,-0.201092""},{""landing_point_id"":4554,""name"":""Bude, United Kingdom"",""latlon"":""50.828110,",glo-1,1357,#3766b1,"9,800 km",October 2010,Globacom Limited,http://www.gloworld.com,"MULTILINESTRING ((-0.20432 5.558283, -0.449925 4.164913, -0.449925 3.042156), (-4.544405 50.828203, -6.074885 50.382957, -7.64992 49.732934, -9.899919 48.704235, -14.399916 44.051519, -14.399916 39.698323, -13.499916 35.785662, -12.824917 33.189715, -12.599917 30.12605, -13.499916 28.161052, -14.624915 26.964305, -17.549913 22.884654, -18.899912 19.952623, -18.899912 14.801154, -18.899912 11.73565, -17.549913 8.635699, -13.049917 4.164913, -10.799918 2.81745, -3.599923 2.81745, -0.449925 3.042156, 1.575073 3.266815, 2.250073 3.379126, 2.925072 4.164913, 3.423509 6.439069))"
238,Italy-Monaco,"<div class=""googft-info-window"">
<b>id:</b> italy-monaco<br>
<b>cable_id:</b> 1302<br>
<b>description:</b> [{""landing_point_id"":6028,""name"":""Monte Carlo, Monaco"",""latlon"":""43.739735,7.427212""},{""landing_point_id"":5880,""name"":""Savona, Italy"",""latlon"":""44.",italy-monaco,1302,#52469d,162 km,1995,"Telecom Italia Sparkle,  Monaco Telecom",,"MULTILINESTRING ((7.426729 43.738258, 7.875069 43.727215, 8.325068 43.889588, 8.48376 44.30575))"
207,Southern Caribbean Fiber,"<div class=""googft-info-window"">
<b>id:</b> southern-caribbean-fiber<br>
<b>cable_id:</b> 1619<br>
<b>description:</b> [{""landing_point_id"":16975,""name"":""Baie-Mahault, Guadeloupe"",""latlon"":""16.244472,-61.571717""},{""landing_point_id"":8834,""name"":""Baillif,",southern-caribbean-fiber,1619,#45c1bc,n.a.,September 2006,Digicel,http://southern-caribbean.com,"MULTILINESTRING ((-62.850553 17.897911, -63.056033 17.877383, -63.168631 17.930956, -63.168631 18.037959, -63.07814 18.089928), (-64.819265 17.77391, -64.57488 17.984512, -64.12488 17.931002, -63.92488 17.180187, -62.374882 15.452761, -61.762382 14.69236, -61.312382 14.147584), (-61.715946 16.028941, -61.874882 15.886036, -61.987382 15.94013, -63.056131 17.180187, -63.170718 17.422849, -63.112381 17.77033, -63.224881 17.87743, -63.224881 18.037959, -63.07814 18.089928), (-66.106666 18.466105, -65.699879 18.51871, -65.362379 18.465364, -65.13738 18.251816, -64.68738 18.091436, -64.12488 18.144944, -63.449881 18.251816, -63.224881 18.198342, -63.07814 18.089928), (-61.571684 16.244478, -61.470134 15.988765, -61.495268 15.892798, -61.607792 15.838656, -61.715946 16.028941), (-61.254668 13.187871, -61.481035 13.054151, -61.818534 12.395734, -61.710868 12.18801), (-60.986601 14.032406, -61.199882 13.929304, -61.424882 13.492128, -61.424882 13.273238, -61.254668 13.187871), (-64.819265 17.77391, -64.68738 18.091436), (-61.312382 14.147584, -61.199882 14.03847, -60.986601 14.032406), (-61.312382 14.147584, -60.974883 14.256645, -60.749883 14.147584, -59.849883 13.273238, -59.607403 13.084496))"
208,Southern Caribbean Fiber,"<div class=""googft-info-window"">
<b>id:</b> southern-caribbean-fiber<br>
<b>cable_id:</b> 1619<br>
<b>description:</b> [{""landing_point_id"":16975,""name"":""Baie-Mahault, Guadeloupe"",""latlon"":""16.244472,-61.571717""},{""landing_point_id"":8834,""name"":""Baillif,",southern-caribbean-fiber,1619,#45c1bc,n.a.,September 2006,Digicel,http://southern-caribbean.com,"MULTILINESTRING ((-61.09417 14.615454, -61.312382 14.801154, -61.424882 15.018579, -61.392509 15.308039, -61.537382 15.452761, -61.72028 15.838656, -61.715946 16.028941), (-61.715946 16.028941, -61.874882 15.994222, -62.099882 16.534196, -61.987382 16.965103, -61.857939 17.051484), (-62.729764 17.298639, -63.056131 17.180187), (-61.09417 14.615454, -61.143632 14.365654, -61.143632 14.147584, -60.986601 14.032406), (-61.710868 12.18801, -61.873075 12.081557, -61.873075 11.861439, -61.649882 11.294709, -61.593632 11.073983, -61.649296 10.687696))"
209,GlobalConnect 2 (GC2),"<div class=""googft-info-window"">
<b>id:</b> globalconnect-2-gc2<br>
<b>cable_id:</b> 1760<br>
<b>description:</b> [{""landing_point_id"":10605,""name"":""Kungsbacka, Sweden"",""latlon"":""57.487482,12.076234""},{""landing_point_id"":10606,""name"":""Saeby, Denmark"",""la",globalconnect-2-gc2,1760,#3981c3,95 km,August 2001,GlobalConnect,http://www.globalconnect.dk,"MULTILINESTRING ((10.516668 57.331046, 10.800067 57.451036, 11.700066 57.511513, 12.076238 57.487691))"
210,GlobalConnect 3 (GC3),"<div class=""googft-info-window"">
<b>id:</b> globalconnect-3-gc3<br>
<b>cable_id:</b> 1761<br>
<b>description:</b> [{""landing_point_id"":13465,""name"":""Korsor, Denmark"",""latlon"":""55.325752,11.149379""},{""landing_point_id"":13466,""name"":""Nybor, Denmark"",""latlo",globalconnect-3-gc3,1761,#d2392a,19 km,2006,GlobalConnect,http://www.globalconnect.dk,"MULTILINESTRING ((10.799578 55.324415, 11.149383 55.326054))"
211,GlobalConnect-KPN,"<div class=""googft-info-window"">
<b>id:</b> globalconnect-kpn<br>
<b>cable_id:</b> 1762<br>
<b>description:</b> [{""landing_point_id"":5820,""name"":""Gedser, Denmark"",""latlon"":""54.576351,11.928968""},{""landing_point_id"":3130,""name"":""Rostock, Germany"",""latlon""",globalconnect-kpn,1762,#e13326,43 km,2006,GlobalConnect,http://www.globalconnect.dk,"MULTILINESTRING ((11.940007 54.577234, 11.812566 54.493972, 11.812566 54.297486, 12.132488 54.07918))"
212,HANTRU1 Cable System,"<div class=""googft-info-window"">
<b>id:</b> hantru1-cable-system<br>
<b>cable_id:</b> 1605<br>
<b>description:</b> [{""landing_point_id"":7879,""name"":""Kwajalein, Republic of Marshall Islands"",""latlon"":""9.189776,167.424365""},{""landing_point_id"":9060,""name"":",hantru1-cable-system,1605,#46479d,"2,917 km",March 2010,"Hannon Armstrong,  Federated States of Micronesia Telecommunications Company,  Marshall Islands Telecommunications Authority",,"MULTILINESTRING ((159.07025 7.786399, 158.849962 8.635699, 158.849962 9.524411), (167.399956 8.635699, 169.649954 7.744889, 171.196242 7.07776), (144.694698 13.464778, 144.843722 13.273238, 145.349971 12.944534, 146.249971 12.395734, 147.14997 12.175887, 149.399968 11.294709, 151.199967 10.410817, 158.849962 9.524411, 163.799958 9.080331, 167.399956 8.635699, 167.405815 9.186487))"
213,GlobeNet,"<div class=""googft-info-window"">
<b>id:</b> globenet<br>
<b>cable_id:</b> 1076<br>
<b>description:</b> [{""landing_point_id"":4315,""name"":""Barranquilla, Colombia"",""latlon"":""10.940459,-74.779755""},{""landing_point_id"":3563,""name"":""Boca Raton, Florida, United",globenet,1076,#7c499d,"23,500 km",October 2000,BTG Pactual,http://www.globenet.net,"MULTILINESTRING ((-80.088932 26.350586, -79.649869 26.813799, -77.849871 28.951555, -76.499872 30.901396, -75.149873 33.565491, -73.799873 39.002379, -74.337813 39.603885, -73.349874 39.351218, -71.099875 39.002379, -68.31654 37.589787, -65.699879 34.683018, -64.57488 33.565491, -64.12488 32.812319, -64.23738 32.528215, -64.773415 32.319662, -64.34988 31.286739, -57.599885 22.052986, -52.199889 15.669513, -46.799893 10.410817, -38.699898 1.468427, -38.024899 -1.231316, -38.542965 -3.718737, -35.9999 -3.479269, -34.199902 -4.152768, -32.174903 -5.497951, -31.274904 -9.290424, -32.849902 -13.698987, -34.649901 -18.026426, -38.024899 -22.873435, -40.949897 -23.905969, -42.299896 -23.700176, -43.209563 -22.903484, -42.299896 -23.597157, -40.949897 -23.700108, -38.362399 -22.56212, -35.549901 -18.026426, -33.749902 -13.698987, -31.949903 -9.290424, -32.512403 -5.833801, -34.199902 -4.489308, -35.9999 -3.703826, -38.542965 -3.718737), (-80.088932 26.350586, -79.649869 26.663094, -77.849871 27.364668, -76.949871 27.164666, -73.349874 24.532658, -69.299877 22.469444, -67.949878 20.585819, -67.837378 18.678647, -68.174877 17.823934, -68.399877 15.235782, -67.499878 12.615396, -67.274878 11.294709, -66.960425 10.59959, -66.712379 10.85309, -65.699879 11.405009, -63.89988 11.73565, -62.999881 11.73565, -61.199882 11.73565, -59.399884 11.294709, -54.899887 9.080331, -51.299889 6.852191, -46.799893 5.061987, -40.949897 1.468427, -39.149898 -1.231316, -38.542965 -3.718737))"
214,GlobeNet,"<div class=""googft-info-window"">
<b>id:</b> globenet<br>
<b>cable_id:</b> 1076<br>
<b>description:</b> [{""landing_point_id"":4315,""name"":""Barranquilla, Colombia"",""latlon"":""10.940459,-74.779755""},{""landing_point_id"":3563,""name"":""Boca Raton, Florida, United",globenet,1076,#b6b8ba,"23,500 km",October 2000,BTG Pactual,http://www.globenet.net,"MULTILINESTRING ((-68.399877 15.235782, -70.199876 14.801154, -71.549875 14.147584, -74.249873 12.834869, -74.924873 11.73565, -74.779756 10.94045))"
215,GO-1 Mediterranean Cable System,"<div class=""googft-info-window"">
<b>id:</b> go-1-mediterranean-cable-system<br>
<b>cable_id:</b> 1581<br>
<b>description:</b> [{""landing_point_id"":3215,""name"":""Mazara del Vallo, Italy"",""latlon"":""37.650126,12.591272""},{""landing_point_id"":8561,""name"":""St.",go-1-mediterranean-cable-system,1581,#4ab852,290 km,December 2008,GO plc,https://www.go.com.mt/business,"MULTILINESTRING ((12.591374 37.650584, 12.712565 37.232354, 13.050065 36.87322, 14.062564 36.058973, 14.41188 35.950584))"
216,Gondwana-1,"<div class=""googft-info-window"">
<b>id:</b> gondwana-1<br>
<b>cable_id:</b> 1514<br>
<b>description:</b> [{""landing_point_id"":5704,""name"":""Noumea, New Caledonia"",""latlon"":""-22.303324,166.439209""},{""landing_point_id"":3030,""name"":""Sydney, Australia"",""latlo",gondwana-1,1514,#593d98,"2,151 km",September 2008,OPT,http://telecom.opt.nc,"MULTILINESTRING ((151.206998 -33.869555, 152.099966 -33.649045, 154.799965 -32.042387, 157.499963 -28.74381, 165.599957 -22.66597, 166.341753 -22.300345))"
217,OTEGLOBE Kokkini-Bari,"<div class=""googft-info-window"">
<b>id:</b> oteglobe-kokkini-bari<br>
<b>cable_id:</b> 1383<br>
<b>description:</b> [{""landing_point_id"":3160,""name"":""Bari, Italy"",""latlon"":""41.125490,16.866661""},{""landing_point_id"":7730,""name"":""Kokkini, Greece"",""latlon"":",oteglobe-kokkini-bari,1383,#ec8e23,700 km,June 2004,OTEGLOBE,http://www.oteglobe.gr,"MULTILINESTRING ((16.868812 41.125713, 18.000061 41.154101, 18.675061 40.899491, 19.125061 40.38732, 19.237561 40.043692, 19.923986 39.754054, 19.125061 40.043692, 19.012561 40.38732, 18.562561 40.814402, 18.000061 41.06934, 16.868812 41.125713))"
218,Greenland Connect North,"<div class=""googft-info-window"">
<b>id:</b> greenland-connect-north<br>
<b>cable_id:</b> 1897<br>
<b>description:</b> [{""landing_point_id"":16718,""name"":""Aasiaat, Greenland"",""latlon"":""68.706971,-52.859111""},{""landing_point_id"":16719,""name"":""Maniitsoq, Gre",greenland-connect-north,1897,#b2552e,680 km,December 2017,TELE Greenland,http://www.tele.gl,"MULTILINESTRING ((-51.729967 64.18122, -52.199889 64.121675, -52.874888 64.31739, -53.099888 64.704686, -53.099888 65.086521, -52.905723 65.407675, -53.549888 65.556226, -53.999888 65.834047, -53.999888 66.380804, -53.999888 66.560452, -53.673386 66.939472, -54.224887 67.003945, -54.449887 67.266219, -54.449887 68.120141, -53.549888 68.617768, -52.859117 68.706976))"
228,Hokkaido-Sakhalin Cable System (HSCS),"<div class=""googft-info-window"">
<b>id:</b> hokkaido-sakhalin-cable-system-hscs<br>
<b>cable_id:</b> 1528<br>
<b>description:</b> [{""landing_point_id"":7834,""name"":""Ishikari, Japan"",""latlon"":""43.171180,141.315393""},{""landing_point_id"":8366,""name"":""Nevelsk",hokkaido-sakhalin-cable-system-hscs,1528,#aec237,570 km,July 2008,"NTT,  TTK",,"MULTILINESTRING ((141.315404 43.171177, 141.074974 43.5644, 141.074974 44.051519, 141.299974 45.331071, 141.637474 46.272183, 141.859349 46.684851))"
219,Greenland Connect,"<div class=""googft-info-window"">
<b>id:</b> greenland-connect<br>
<b>cable_id:</b> 1569<br>
<b>description:</b> [{""landing_point_id"":8994,""name"":""Landeyjar, Iceland"",""latlon"":""63.642167,-20.142294""},{""landing_point_id"":8542,""name"":""Milton, Newfoundland a",greenland-connect,1569,#f57a21,"4,780 km",March 2009,TELE Greenland,http://www.tele.gl,"MULTILINESTRING ((-53.965903 48.1864, -53.549888 48.106776, -53.099888 48.256799, -52.199889 48.704235, -49.499891 50.740282, -49.049891 51.865572, -50.84989 60.130943, -51.749889 61.232553, -52.649888 62.712392, -52.649888 63.526173, -51.974889 63.825498, -51.729967 64.18122, -51.862389 63.825498, -52.424889 63.526173, -52.199889 62.712392, -50.39989 61.232553, -48.599891 60.354289, -46.799893 59.679664, -45.899893 59.451717, -43.199895 59.222224, -27.899906 61.015241, -22.49991 62.086962, -20.924911 63.324862, -20.141855 63.642368), (-46.035391 60.71903, -46.349893 60.354289, -46.799893 59.679664))"
220,Guam Okinawa Kyushu Incheon (GOKI),"<div class=""googft-info-window"">
<b>id:</b> guam-okinawa-kyushu-incheon-goki<br>
<b>cable_id:</b> 1692<br>
<b>description:</b> [{""landing_point_id"":5895,""name"":""Kita-kyushu, Japan"",""latlon"":""33.839276,131.032024""},{""landing_point_id"":5886,""name"":""Okinawa",guam-okinawa-kyushu-incheon-goki,1692,#49b74f,"4,244 km",December 2013,AT&T,http://www.att.com,"MULTILINESTRING ((144.800362 13.513683, 144.449972 13.929304, 138.599976 17.395023, 131.849981 21.635297, 128.699983 23.711258, 127.574984 24.941363, 127.124984 25.95718, 127.124984 26.562513, 128.024984 28.557045, 128.249983 29.540508, 128.924983 30.514496, 129.037483 31.670513, 129.599982 33.565491, 130.049982 33.93964, 130.457208 34.033165, 131.031915 33.839524), (127.124984 25.95718, 127.462484 26.159308, 127.680843 26.212414))"
221,Guernsey-Jersey-4,"<div class=""googft-info-window"">
<b>id:</b> guernsey-jersey-4<br>
<b>cable_id:</b> 1702<br>
<b>description:</b> [{""landing_point_id"":10375,""name"":""Greve de Lecq, Jersey"",""latlon"":""49.247948,-2.201433""},{""landing_point_id"":10374,""name"":""Saints Bay, United",guernsey-jersey-4,1702,#3e7bbf,36 km,Janaury 1994,Sure,,"MULTILINESTRING ((-2.201389 49.248042, -2.558078 49.423326))"
222,Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System,"<div class=""googft-info-window"">
<b>id:</b> gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system<br>
<b>cable_id:</b> 1598<br>
<b>description:</b> [{""landing_point_id"":10232,""name"":""Al Daayen, Qatar"",""latlon"":""25.538584,",gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system,1598,#b9d533,n.a.,February 2012,"Gulf Bridge International,  Airtel (Bharti)",http://www.gbiinc.com,"MULTILINESTRING ((49.275039 28.951555, 49.162539 28.853067), (56.333726 25.121693, 56.700034 25.348717, 56.868784 26.159308, 56.700034 26.562513, 56.250034 26.562513, 55.800035 26.209785, 55.350035 25.95718, 53.550036 25.95718, 52.200037 25.855985, 51.451991 25.538931, 51.750038 26.159308, 51.750038 26.562513, 51.525038 26.964305, 50.850038 27.364668, 50.175039 28.359234, 49.162539 28.853067, 48.60004 29.049949, 47.974845 29.374101), (56.333726 25.121693, 57.037534 25.348717, 57.037534 26.159308, 56.868784 26.562513, 56.250034 26.763587, 55.800035 26.411476, 55.350035 26.361086, 53.550036 26.361086, 53.100037 26.562513, 52.425037 26.964305, 51.750038 27.364668, 50.400039 28.557045, 49.275039 28.951555, 48.82504 29.540508, 48.531778 29.923634), (58.176205 23.684879, 58.331283 23.917101, 58.500033 24.122617), (50.656191 26.241585, 51.075038 26.562513, 51.525038 26.964305), (50.214199 26.285373, 50.231289 26.461844, 50.400039 26.964305, 50.850038 27.364668), (50.842714 28.970352, 50.400039 28.557045), (56.333726 25.121693, 56.925034 24.76272, 58.500033 24.122617, 59.850032 24.532658, 63.225029 22.469444, 66.600027 20.375041, 70.200025 19.740987, 72.875902 19.076074))"
223,Hawaiki,"<div class=""googft-info-window"">
<b>id:</b> hawaiki<br>
<b>cable_id:</b> 1733<br>
<b>description:</b> [{""landing_point_id"":16358,""name"":""Kapolei, HI, United States"",""latlon"":""21.335424,-158.056901""},{""landing_point_id"":16442,""name"":""Mangawhai, New Zealan",hawaiki,1733,#b6b8ba,"14,000 km",June 2018,Hawaiki Cable Company,http://hawaikicable.co.nz,"MULTILINESTRING ((-173.699803 -11.943945, -172.078224 -12.894211, -170.999805 -13.698987, -170.695705 -14.276549), (-158.056894 21.335426, -152.999817 26.159308, -147.599821 28.951555, -138.599828 33.565491, -128.249835 42.743713, -125.099837 44.854552, -123.962539 45.202234), (-158.056894 21.335426, -158.287314 20.796306, -159.074813 18.678647, -161.999811 13.054151, -167.399807 2.367913, -171.449804 -4.825692, -172.799803 -10.177457, -173.699803 -11.943945, -176.399801 -18.453814, -179.999798 -23.905969), (179.999947 -23.905969, 166.949956 -32.61276, 165.599957 -34.11602), (174.574462 -36.126152, 174.599951 -35.593029, 174.149951 -34.857839, 172.799952 -34.11602, 165.599957 -34.11602, 159.299961 -35.042261, 155.699964 -34.857839, 152.099966 -34.02283, 151.206998 -33.869555))"
224,Hawk,"<div class=""googft-info-window"">
<b>id:</b> hawk<br>
<b>cable_id:</b> 1523<br>
<b>description:</b> [{""landing_point_id"":6044,""name"":""Alexandria, Egypt"",""latlon"":""31.191889,29.889787""},{""landing_point_id"":3210,""name"":""Marseille, France"",""latlon"":""43.29316",hawk,1523,#ae469a,"3,400 km",2011,Global Cloud Xchange,http://www.globalcloudxchange.com,"MULTILINESTRING ((32.466653 34.766572, 29.645659 32.841861, 28.800054 32.338312), (5.372531 43.293627, 5.85007 41.744359, 6.975069 38.651812, 7.650069 37.94551, 9.000068 37.500588, 10.348614 37.411284, 10.912567 37.321872, 11.250066 37.232354, 12.262566 36.240655, 12.600065 35.785662, 13.162565 35.419781, 14.400064 34.497791, 16.650062 34.126101, 19.350061 34.497791, 25.200056 33.565491, 28.800054 32.338312, 29.89351 31.191469))"
249,Korea-Japan Cable Network (KJCN),"<div class=""googft-info-window"">
<b>id:</b> korea-japan-cable-network-kjcn<br>
<b>cable_id:</b> 1231<br>
<b>description:</b> [{""landing_point_id"":4059,""name"":""Fukuoka, Japan"",""latlon"":""33.590301,130.401653""},{""landing_point_id"":5895,""name"":""Kita-kyushu,",korea-japan-cable-network-kjcn,1231,#b42e26,500 km,March 2002,"QTNet,  KT,  Softbank Telecom,  NTT",,"MULTILINESTRING ((131.031915 33.839524, 130.499982 34.312152, 128.999495 35.170382, 130.049982 34.312152, 130.401642 33.590225))"
225,GTT Atlantic,"<div class=""googft-info-window"">
<b>id:</b> gtt-atlantic<br>
<b>cable_id:</b> 1080<br>
<b>description:</b> [{""landing_point_id"":9038,""name"":""Coleraine, United Kingdom"",""latlon"":""55.130733,-6.676187""},{""landing_point_id"":3077,""name"":""Dublin, Ireland"",""lat",gtt-atlantic,1080,#4dba6b,"12,200 km",April 2001,GTT,http://www.gtt.net,"MULTILINESTRING ((-70.96345 42.445224, -69.299877 42.743713, -65.699879 42.743713, -63.89988 44.051519, -63.572488 44.653231, -61.199882 44.534664, -50.39989 46.116435, -39.599898 49.294684, -23.399909 53.502098, -16.199914 54.819362, -12.599917 55.334581, -8.999919 55.589707, -6.676191 55.41576, -6.043671 55.359457, -4.949922 54.363086, -4.949922 54.100057, -4.837374 53.967914, -3.006369 53.647931, -3.599923 53.568959, -5.624922 53.368058, -6.24831 53.348126, -5.624922 53.233595, -5.399922 52.691502, -5.624922 52.142593, -7.199921 51.306376, -10.799918 50.740282, -16.199914 50.454639, -23.399909 50.167261, -39.599898 48.704235, -50.39989 45.489027, -61.199882 44.374058, -63.572488 44.653231), (-6.676191 55.130931, -6.676191 55.41576))"
226,GTT Express,"<div class=""googft-info-window"">
<b>id:</b> gtt-express<br>
<b>cable_id:</b> 1673<br>
<b>description:</b> [{""landing_point_id"":5736,""name"":""Brean, United Kingdom"",""latlon"":""51.293735,-3.010905""},{""landing_point_id"":3522,""name"":""Cork, Ireland"",""latlon"":""5",gtt-express,1673,#b13e2c,"4,600 km",September 2015,GTT,http://www.gtt.net,"MULTILINESTRING ((-3.010861 51.293645, -4.049923 51.44682, -5.399922 51.376652, -7.199921 51.1655, -10.799918 50.597677, -16.199914 50.167261, -23.399909 49.587287, -39.599898 48.106776, -50.39989 44.854552, -61.199882 44.213009, -63.575808 44.64618), (-8.472722 51.898606, -7.64992 51.586834, -7.199921 51.1655))"
227,High-capacity Undersea Guernsey Optical-fibre (HUGO),"<div class=""googft-info-window"">
<b>id:</b> high-capacity-undersea-guernsey-optical-fibre-hugo<br>
<b>cable_id:</b> 1697<br>
<b>description:</b> [{""landing_point_id"":5837,""name"":""Lannion, France"",""latlon"":""48.730260,-3.459928""},{""landing_point_id"":10373,",high-capacity-undersea-guernsey-optical-fibre-hugo,1697,#58c09c,425 km,2007,"Sure,  Vodafone",,"MULTILINESTRING ((-2.53757 49.509544, -3.599923 49.587287, -4.499923 49.732934, -5.399922 49.805594, -5.654512 50.043151), (-2.558225 49.426851, -2.924924 49.294684, -3.459884 48.873415, -3.459884 48.730555))"
411,Lanis-3,"<div class=""googft-info-window"">
<b>id:</b> lanis-3<br>
<b>cable_id:</b> 1834<br>
<b>description:</b> [{""landing_point_id"":11461,""name"":""Troon, United Kingdom"",""latlon"":""55.541328,-4.659928""},{""landing_point_id"":16018,""name"":""Whitehead, United Kingdom"",""",lanis-3,1834,#2e8db3,122 km,1992,Vodafone,,"MULTILINESTRING ((-4.659932 55.541334, -4.949922 55.46235, -5.624922 54.819362, -5.718721 54.753703))"
229,Honotua,"<div class=""googft-info-window"">
<b>id:</b> honotua<br>
<b>cable_id:</b> 1556<br>
<b>description:</b> [{""landing_point_id"":14804,""name"":""Huahine, French Polynesia"",""latlon"":""-16.730061,-151.000068""},{""landing_point_id"":8973,""name"":""Kawaihae, Hawaii, Unit",honotua,1556,#bb8d35,"4,805 km",September 2010,OPT French Polynesia,http://www.opt.pf,"MULTILINESTRING ((-155.856355 20.003744, -156.374815 19.740987, -156.599815 19.104405, -154.799816 5.957819, -150.299819 -13.698987, -149.51232 -17.168553, -149.44108 -17.512153, -149.82951 -17.538321, -150.074819 -17.383402, -150.749819 -16.953455, -150.999968 -16.7296, -151.442979 -16.730535, -151.74948 -16.505856))"
230,i2i Cable Network (i2icn),"<div class=""googft-info-window"">
<b>id:</b> i2i-cable-network-i2icn<br>
<b>cable_id:</b> 1179<br>
<b>description:</b> [{""landing_point_id"":4191,""name"":""Chennai, India"",""latlon"":""13.063480,80.243083""},{""landing_point_id"":5938,""name"":""Tuas, Singapore"",""lat",i2i-cable-network-i2icn,1179,#d96627,"3,200 km",April 2002,Airtel (Bharti),http://www.airtel.in,"MULTILINESTRING ((80.242986 13.063854, 81.450017 12.395734, 83.700015 11.294709, 89.100011 9.967915, 93.150008 8.740827, 95.400007 7.744889, 97.425005 6.740482, 99.225004 5.28607, 99.900003 4.613592, 100.687503 3.266815, 101.250003 2.705081, 102.150002 2.086876, 103.050001 1.580887, 103.34065 1.355888, 103.500001 1.257305, 103.646095 1.338583))"
231,INGRID,"<div class=""googft-info-window"">
<b>id:</b> ingrid<br>
<b>cable_id:</b> 1700<br>
<b>description:</b> [{""landing_point_id"":10377,""name"":""Archirondel, Jersey"",""latlon"":""49.225279,-2.021306""},{""landing_point_id"":10375,""name"":""Greve de Lecq, Jersey"",""latlon""",ingrid,1700,#42b64a,64 km,October 2004,CIEG,,"MULTILINESTRING ((-2.021311 49.225279, -1.650022 49.283283), (-2.529416 49.451045, -2.201389 49.248042))"
232,Interchange Cable Network 1 (ICN1),"<div class=""googft-info-window"">
<b>id:</b> interchange-cable-network-1-icn1<br>
<b>cable_id:</b> 1682<br>
<b>description:</b> [{""landing_point_id"":9086,""name"":""Port Vila, Vanuatu"",""latlon"":""-17.730329,168.322802""},{""landing_point_id"":4268,""name"":""Suva,",interchange-cable-network-1-icn1,1682,#ce2c43,"1,259 km",January 2014,Interchange,http://www.interchange.vu,"MULTILINESTRING ((168.323002 -17.730505, 168.637455 -17.919416, 169.199954 -18.026426, 177.299949 -18.453814, 178.312448 -18.453814, 178.437448 -18.123812))"
233,IP-Only Denmark-Sweden,"<div class=""googft-info-window"">
<b>id:</b> ip-only-denmark-sweden<br>
<b>cable_id:</b> 1765<br>
<b>description:</b> [{""landing_point_id"":11045,""name"":""Brondby, Denmark"",""latlon"":""55.647249,12.414905""},{""landing_point_id"":14586,""name"":""Klagshamn, Sweden""",ip-only-denmark-sweden,1765,#3466b1,n.a.,1994,IP-Only,,"MULTILINESTRING ((12.415007 55.647556, 12.487565 55.557907, 12.600065 55.52608, 12.712565 55.52608, 12.916667 55.533569))"
234,Italy-Albania,"<div class=""googft-info-window"">
<b>id:</b> italy-albania<br>
<b>cable_id:</b> 1296<br>
<b>description:</b> [{""landing_point_id"":3160,""name"":""Bari, Italy"",""latlon"":""41.125490,16.866661""},{""landing_point_id"":6025,""name"":""Durres, Albania"",""latlon"":""41.3166",italy-albania,1296,#a9852e,240 km,1997,"Telecom Italia Sparkle,  Albania Telecom",,"MULTILINESTRING ((16.868812 41.125713, 18.000061 41.238752, 19.125061 41.238752, 19.45006 41.316913))"
235,Italy-Croatia,"<div class=""googft-info-window"">
<b>id:</b> italy-croatia<br>
<b>cable_id:</b> 1286<br>
<b>description:</b> [{""landing_point_id"":6016,""name"":""Mestre, Italy"",""latlon"":""45.495874,12.244105""},{""landing_point_id"":6017,""name"":""Umag, Croatia"",""latlon"":""45.4331",italy-croatia,1286,#c34030,230 km,1994,"Telecom Italia Sparkle,  T-Hrvatski Telekom",,"MULTILINESTRING ((12.257414 45.496078, 12.376066 45.331071, 13.275065 45.331071, 13.533475 45.433281))"
236,Italy-Greece 1,"<div class=""googft-info-window"">
<b>id:</b> italy-greece-1<br>
<b>cable_id:</b> 1299<br>
<b>description:</b> [{""landing_point_id"":6024,""name"":""Corfu, Greece"",""latlon"":""39.619302,19.919492""},{""landing_point_id"":6027,""name"":""Otranto, Italy"",""latlon"":""40.14",italy-greece-1,1299,#56b948,169 km,1995,WIS Telecom,http://www.wis.one,"MULTILINESTRING ((18.485706 40.148203, 18.675061 40.043692, 19.57506 39.698323, 19.919591 39.619533))"
237,Italy-Libya,"<div class=""googft-info-window"">
<b>id:</b> italy-libya<br>
<b>cable_id:</b> 1287<br>
<b>description:</b> [{""landing_point_id"":3215,""name"":""Mazara del Vallo, Italy"",""latlon"":""37.650126,12.591272""},{""landing_point_id"":4271,""name"":""Tripoli, Libya"",""latlon""",italy-libya,1287,#2868b3,570 km,1998,"Telecom Italia Sparkle,  Libya International Telecommunications Company",,"MULTILINESTRING ((12.591374 37.650584, 12.543815 37.232354, 12.600065 36.87322, 12.825065 35.419781, 13.162565 33.189715, 13.18737 32.877627))"
